Expiry,Tenor,T_expiry,Alpha,Rho,Nu,Error
10y,10y,10.0,49.85140856693873,0.001057779900352402,0.5499579048496044,65202.65432446105
10y,1y,10.0,53.9921925309044,0.0009167125901864782,0.5429793395149318,996.0036084113824
10y,2y,10.0,53.412629796101854,0.0009157560056739967,0.5428751562138728,3687.963757488209
10y,30y,10.0,45.46048843593648,0.0010528524701631688,0.550941501771016,276035.4104437891
10y,5y,10.0,52.36195665378629,0.0009175782612122106,0.5430707057786847,20114.42847576071
1y,10y,1.0,57.57435601548026,0.0007472686354869479,0.5227320227772705,26694.031286714413
1y,1y,1.0,51.526757650785825,0.0008068984410780301,0.5293929418941454,345.63392444465114
1y,2y,1.0,56.93041222133946,0.000707255209864101,0.5184046227210334,1415.5372309433428
1y,30y,1.0,55.34357319829533,0.0006898951574347005,0.5295279042469234,111323.1400780773
1y,5y,1.0,57.912192806618954,0.0007240654504141034,0.5260965789014942,8317.25876385204
2y,10y,2.0,61.81232339444981,0.0007300249474187473,0.5256340021029553,31294.595417053606
2y,1y,2.0,61.83496246359374,0.0007240643955278385,0.5253727744712997,432.2829900124573
2y,2y,2.0,63.44707788601153,0.0007243905575708993,0.5254868892384272,1729.1476210066905
2y,30y,2.0,58.75444876969003,0.0007247730772702297,0.5261832890334466,128548.98121640037
2y,5y,2.0,63.03279955070394,0.0007238505156201557,0.5251925834444777,9547.613848044668
3m,10y,0.25,56.54048693296228,0.0005557835329736229,0.5152554007815637,2464.674895858505
3m,1y,0.25,43.35927787977285,6.7414882678969e-05,0.5223930197874335,35.31736753306542
3m,2y,0.25,52.01245561010019,0.0006180109048426395,0.5163749079246838,135.27050414344035
3m,30y,0.25,55.159701779389266,0.0005635324175408909,0.5154784918459538,10320.424553608707
3m,5y,0.25,58.24288963705574,0.00046169150746219067,0.5210091847187721,740.4836180308522
3y,10y,3.0,37.77853241398857,0.031126286407853768,1.4536640051810785,57989.85640956744
3y,1y,3.0,55.63506384659749,0.0007786595252276228,0.5279649203132988,837.3510946824974
3y,2y,3.0,55.871520198390144,0.0007764953037333628,0.5273646539428343,3217.4783647767044
3y,30y,3.0,50.72352331260427,0.0008250387922382196,0.5321299310660996,236920.38908803026
3y,5y,3.0,55.181194628609894,0.0007913823669404658,0.529291634909147,18058.995127092916
5y,10y,5.0,56.71745067611336,0.0009052553510916137,0.5411948954234309,85349.18960274842
5y,1y,5.0,59.543581955818894,0.0008822964066992788,0.5419734865154243,1298.658574953426
5y,2y,5.0,59.62097397243684,0.000862916702823359,0.542180448099254,4857.940787940539
5y,30y,5.0,52.46688459208451,0.0009146125898480957,0.5478963523274767,345151.378363298
5y,5y,5.0,58.539539440056764,0.0008864876296247584,0.5416685953704701,26974.386361115212
6m,10y,0.5,56.92605043087284,0.000706669571763471,0.5234371726655647,8423.258406426059
6m,1y,0.5,46.08249805566537,0.0007294301023652185,0.5271465125535728,112.44297551755851
6m,2y,0.5,54.37450654510721,0.0007109807451096592,0.5234090377258966,436.27571635207335
6m,30y,0.5,55.27284918443449,0.0007109669608579411,0.5233380401154468,34976.09371306534
6m,5y,0.5,57.69265391480756,0.0006387693655125943,0.524859692803285,2584.535667651455
