Expiry,Tenor,Forward,Annuity,Offset,Straddle,Strangle,RiskReversal,Payer,Receiver,Strike_Payer,Strike_Receiver,T_expiry
3m,1y,0.034156,0.9581095872389858,0.0025,20,10,-2,4,6,0.036656,0.031656,0.25
6m,1y,0.033345,0.9506198521499031,0.005,31,13,-3,5,8,0.038345,0.028345,0.5
1y,1y,0.033189,0.9349663118847465,0.01,50,18,-3,7.5,10.5,0.043189000000000005,0.023189,1.0
2y,1y,0.034962,0.9043607727333325,0.01,78,42,1,21.5,20.5,0.044962,0.024961999999999998,2.0
3y,1y,0.036629999999999996,0.9646643450411415,0.015,96,46,3,24.5,21.5,0.051629999999999995,0.021629999999999996,3.0
5y,1y,0.039854,0.8163611763141514,0.02,118,56,6,31,25,0.059854000000000004,0.019854,5.0
10y,1y,0.04644,0.6894812139259986,0.02,135,81,7,44,37,0.06644,0.02644,10.0
3m,2y,0.033929999999999995,1.8851893188623092,0.0025,46,26,-2,12,14,0.03643,0.03142999999999999,0.25
6m,2y,0.033777,1.869398210061151,0.005,70,34,-3,15.5,18.5,0.038777,0.028777,0.5
1y,2y,0.034062,1.8375821581041658,0.01,107,42,-4,19,23,0.044062000000000004,0.024062,1.0
2y,2y,0.035778,1.776082653891592,0.01,157,85,2,43.5,41.5,0.045778,0.025777999999999995,2.0
3y,2y,0.037383,1.893190970901616,0.015,189,91,6,48.5,42.5,0.052383,0.022383,3.0
5y,2y,0.040586000000000004,1.5997556586899855,0.02,231,111,11,61,50,0.060586,0.020586000000000004,5.0
10y,2y,0.046443000000000005,1.3483581607256983,0.02,261,157,13,85,72,0.066443,0.026443000000000005,10.0
3m,5y,0.035672999999999996,4.465156832545859,0.0025,120,73,-3,35,38,0.038173,0.033172999999999994,0.25
6m,5y,0.035842,4.4246618756834835,0.005,175,87,-3,42,45,0.040841999999999996,0.030841999999999998,0.5
1y,5y,0.036434,4.343869859123,0.01,258,100,-1,49.5,50.5,0.046434,0.026434,1.0
2y,5y,0.038065,4.189560052641148,0.01,368,199,8,103.5,95.5,0.048065000000000004,0.028065,2.0
3y,5y,0.039589,4.456967077273738,0.015,441,209,16,112.5,96.5,0.054589,0.024589,3.0
5y,5y,0.04236500000000001,3.754158939297188,0.02,534,252,31,141.5,110.5,0.062365000000000004,0.022365000000000006,5.0
10y,5y,0.047272999999999996,3.147409019065553,0.02,598,358,43,200.5,157.5,0.067273,0.027272999999999995,10.0
3m,10y,0.038835,8.083369149888464,0.0025,212,126,-1,62.5,63.5,0.041335000000000004,0.036335,0.25
6m,10y,0.039072,8.004416362245877,0.005,313,154,1,77.5,76.5,0.044072,0.034072000000000005,0.5
1y,10y,0.039689,7.847244645948719,0.01,463,180,5,92.5,87.5,0.049689000000000004,0.029689,1.0
2y,10y,0.04104,7.552476516952243,0.01,653,347,14,180.5,166.5,0.05104,0.031039999999999998,2.0
3y,10y,0.042358,8.016517818001217,0.015,778,362,26,194,168,0.057358,0.027358,3.0
5y,10y,0.044542,6.732230003767613,0.02,932,429,46,237.5,191.5,0.064542,0.024541999999999998,5.0
10y,10y,0.047215,5.647362469957216,0.02,1034,600,70,335,265,0.067215,0.027215,10.0
3m,30y,0.04194,16.73708047895554,0.0025,429,253,0,126.5,126.5,0.04444,0.039439999999999996,0.25
6m,30y,0.041992,16.582876130190776,0.005,631,307,2,154.5,152.5,0.046992,0.036992000000000004,0.5
1y,30y,0.042165999999999995,16.273380713842403,0.01,928,350,7,178.5,171.5,0.052166,0.03216599999999999,1.0
2y,30y,0.042565,15.692614663614199,0.01,1295,675,31,353,322,0.052565,0.032565,2.0
3y,30y,0.04288,16.703073857161176,0.015,1534,693,51,372,321,0.05788,0.027880000000000002,3.0
5y,30y,0.043247999999999995,14.117171857234064,0.02,1824,812,89,450.5,361.5,0.063248,0.023247999999999994,5.0
10y,30y,0.042633000000000004,12.086852165833141,0.02,2034,1143,152,647.5,495.5,0.06263300000000001,0.022633000000000004,10.0
